0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
8/26/2016,Khalil Rountree Jr.,Tyson Pedro,0,0,1,1,6,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2019,Dwight Grant,Carlo Pedersoli,47,14,2,2,4,4,44,12,3,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2018,Dwight Grant,Zak Ottow,26,4,2,2,1,1,28,6,0,0,1,1,20,3,2,2,3,2,23,5,2,2,0,0,25,8,5,3,0,0,26,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2018,Max Holloway,Brian Ortega,70,30,14,10,0,0,83,39,1,1,0,0,118,60,5,3,3,3,126,66,0,0,0,0,76,44,6,4,2,2,82,50,2,0,0,0,166,110,30,24,0,0,188,126,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2017,Max Holloway,Jose Aldo,83,20,5,4,1,1,89,25,0,0,0,0,87,29,16,11,1,1,98,36,6,5,0,0,179,86,24,21,1,1,169,83,12,11,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2016,Max Holloway,Anthony Pettis,36,11,8,2,14,10,58,23,0,0,0,0,41,9,15,12,7,5,52,16,9,8,2,2,66,28,18,15,3,2,78,37,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2016,Max Holloway,Ricardo Lamas,38,17,4,4,6,4,44,22,4,3,0,0,66,34,4,4,4,4,60,30,3,2,11,10,75,29,4,4,4,3,77,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2015,Max Holloway,Jeremy Stephens,19,9,8,4,2,2,29,15,0,0,0,0,25,10,5,5,1,1,25,11,6,5,0,0,33,21,4,3,2,2,27,16,2,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2018,Dustin Poirier,Eddie Alvarez,29,5,12,9,6,4,44,17,3,1,0,0,24,5,3,1,2,2,23,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/2018,Dustin Poirier,Justin Gaethje,114,49,16,12,2,2,132,63,0,0,0,0,113,47,4,3,5,5,117,50,5,5,0,0,63,28,6,6,4,4,67,33,6,5,0,0,24,18,0,0,0,0,22,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2017,Dustin Poirier,Anthony Pettis,56,28,6,5,1,0,49,21,10,8,4,4,30,18,0,0,1,1,7,3,0,0,24,16,6,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/2017,Dustin Poirier,Eddie Alvarez,44,9,9,7,2,1,55,17,0,0,0,0,67,23,4,4,1,0,57,19,12,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2017,Dustin Poirier,Jim Miller,56,19,6,4,8,7,61,23,8,6,1,1,97,45,5,5,6,1,96,44,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
